Dimensions;Vertices;Edge probability;Connectivity prob.;Edges;Expected value of edge count;Average degree;Expected value of degree;Density;Average density;Average path length;Grouping factor;
2;10;0.010000000;0.000000000;0.960000000;0.014137167;0.192000000;0.002827433;0.021333333;0.000314159;0.021333333;0.000000000;
2;10;0.020000000;0.000000000;1.440000000;0.056548668;0.288000000;0.011309734;0.032000000;0.001256637;0.032000000;0.060000000;
2;10;0.030000000;0.000000000;2.040000000;0.127234502;0.408000000;0.025446900;0.045333333;0.002827433;0.047111111;0.060000000;
2;10;0.040000000;0.000000000;2.440000000;0.226194671;0.488000000;0.045238934;0.054222222;0.005026548;0.057777778;0.084000000;
2;10;0.050000000;0.000000000;2.640000000;0.353429174;0.528000000;0.070685835;0.058666667;0.007853982;0.060444444;0.048000000;
2;10;0.060000000;0.040000000;3.640000000;0.508938010;0.728000000;0.101787602;0.080888889;0.011309734;0.094222222;0.096000000;
2;10;0.070000000;0.000000000;4.760000000;0.692721180;0.952000000;0.138544236;0.105777778;0.015393804;0.137777778;0.300000000;
2;10;0.080000000;0.000000000;4.720000000;0.904778684;0.944000000;0.180955737;0.104888889;0.020106193;0.123555556;0.288000000;
2;10;0.090000000;0.040000000;5.600000000;1.145110522;1.120000000;0.229022104;0.124444444;0.025446900;0.171555556;0.396000000;
2;10;0.100000000;0.040000000;6.000000000;1.413716694;1.200000000;0.282743339;0.133333333;0.031415927;0.161777778;0.480000000;
2;10;0.110000000;0.040000000;6.880000000;1.710597200;1.376000000;0.342119440;0.152888889;0.038013271;0.204444444;0.684000000;
2;10;0.120000000;0.040000000;6.840000000;2.035752040;1.368000000;0.407150408;0.152000000;0.045238934;0.216000000;0.768000000;
2;10;0.130000000;0.160000000;7.320000000;2.389181213;1.464000000;0.477836243;0.162666667;0.053092916;0.224888889;0.588000000;
2;10;0.140000000;0.160000000;7.680000000;2.770884720;1.536000000;0.554176944;0.170666667;0.061575216;0.251555556;0.600000000;
2;10;0.150000000;0.160000000;9.120000000;3.180862562;1.824000000;0.636172512;0.202666667;0.070685835;0.281777778;1.200000000;
2;10;0.160000000;0.320000000;8.200000000;3.619114737;1.640000000;0.723822947;0.182222222;0.080424772;0.294222222;0.720000000;
2;10;0.170000000;0.360000000;9.840000000;4.085641246;1.968000000;0.817128249;0.218666667;0.090792028;0.359111111;1.164000000;
2;10;0.180000000;0.360000000;10.600000000;4.580442089;2.120000000;0.916088418;0.235555556;0.101787602;0.309333333;1.596000000;
2;10;0.190000000;0.440000000;10.600000000;5.103517266;2.120000000;1.020703453;0.235555556;0.113411495;0.381333333;1.392000000;
2;10;0.200000000;0.440000000;12.200000000;5.654866776;2.440000000;1.130973355;0.271111111;0.125663706;0.550222222;2.124000000;
2;10;0.210000000;0.480000000;12.120000000;6.234490621;2.424000000;1.246898124;0.269333333;0.138544236;0.443555556;2.208000000;
2;10;0.220000000;0.720000000;13.400000000;6.842388800;2.680000000;1.368477760;0.297777778;0.152053084;0.449777778;2.688000000;
2;10;0.230000000;0.640000000;14.040000000;7.478561312;2.808000000;1.495712262;0.312000000;0.166190251;0.467555556;3.072000000;
2;10;0.240000000;0.600000000;14.040000000;8.143008158;2.808000000;1.628601632;0.312000000;0.180955737;0.561777778;2.856000000;
2;10;0.250000000;0.600000000;14.880000000;8.835729338;2.976000000;1.767145868;0.330666667;0.196349541;0.572444444;3.660000000;
2;10;0.260000000;0.600000000;14.640000000;9.556724852;2.928000000;1.911344970;0.325333333;0.212371663;0.696888889;2.952000000;
2;10;0.270000000;0.600000000;14.360000000;10.305994700;2.872000000;2.061198940;0.319111111;0.229022104;0.648000000;2.748000000;
2;10;0.280000000;0.720000000;15.920000000;11.083538882;3.184000000;2.216707776;0.353777778;0.246300864;0.746666667;3.684000000;
2;10;0.290000000;0.760000000;16.240000000;11.889357398;3.248000000;2.377871480;0.360888889;0.264207942;0.723555556;3.864000000;
2;10;0.300000000;0.680000000;15.400000000;12.723450247;3.080000000;2.544690049;0.342222222;0.282743339;0.729777778;3.372000000;
2;10;0.310000000;0.800000000;17.400000000;13.585817430;3.480000000;2.717163486;0.386666667;0.301907054;0.778666667;4.188000000;
2;10;0.320000000;0.760000000;17.560000000;14.476458948;3.512000000;2.895291790;0.390222222;0.321699088;0.873777778;4.320000000;
2;10;0.330000000;0.840000000;17.920000000;15.395374799;3.584000000;3.079074960;0.398222222;0.342119440;0.975111111;4.548000000;
