Dimensions;Vertices;Edge probability;Connectivity prob.;Edges;Expected value of edge count;Average degree;Expected value of degree;Density;Average density;Average path length;Grouping factor;Degree variance;Normalized degree variance;Average difference of vertex probability;Vertex probability difference variance
2;10;0.02;0.00;1.15;0.06;0.23;0.01;0.03;0.00;0.03;0.06;0.01130521;0.002148148;0;0
2;10;0.04;0.00;2.35;0.23;0.47;0.05;0.05;0.01;0.05;0.04;0.045166552;0.004320988;0;0.000000007
2;10;0.06;0.00;4.20;0.51;0.84;0.10;0.09;0.01;0.12;0.12;0.101421167;0.007580247;0;0.000000145
2;10;0.08;0.00;5.25;0.90;1.05;0.18;0.12;0.02;0.15;0.22;0.17979762;0.01017284;0;0.000001141
2;10;0.10;0.00;6.80;1.41;1.36;0.28;0.15;0.03;0.20;0.27;0.279915905;0.012962963;0;0.000005005
2;10;0.12;0.05;6.85;2.04;1.37;0.41;0.15;0.05;0.23;0.34;0.401287442;0.010814815;0;0.000014894
2;10;0.14;0.10;8.15;2.77;1.63;0.55;0.18;0.06;0.29;0.36;0.543315076;0.012666667;0;0.000033483
2;10;0.16;0.20;9.50;3.62;1.90;0.72;0.21;0.08;0.30;0.54;0.70529308;0.014814815;0.000000001;0.000061033
2;10;0.18;0.20;11.00;4.58;2.20;0.92;0.24;0.10;0.42;0.43;0.886407153;0.018888889;0.000000005;0.000095234
2;10;0.20;0.45;12.55;5.65;2.51;1.13;0.28;0.13;0.55;0.55;1.085734421;0.020493827;0.000000034;0.000133332
2;10;0.22;0.55;13.30;6.84;2.66;1.37;0.30;0.15;0.47;0.62;1.302243436;0.020691358;0.000000184;0.0001747
2;10;0.24;0.80;14.55;8.14;2.91;1.63;0.32;0.18;0.62;0.61;1.534794178;0.015283951;0.000000831;0.000221738
2;10;0.26;0.60;15.90;9.56;3.18;1.91;0.35;0.21;0.69;0.66;1.78213805;0.027925926;0.000003198;0.000278867
2;10;0.28;0.45;16.60;11.08;3.32;2.22;0.37;0.25;0.61;0.73;2.042917887;0.03;0.000010721;0.000351067
2;10;0.30;0.70;17.20;12.72;3.44;2.54;0.38;0.28;0.82;0.67;2.315667945;0.021802469;0.000031822;0.000443322
2;10;0.32;0.85;19.50;14.48;3.90;2.90;0.43;0.32;0.92;0.72;2.59881391;0.021185185;0.000084782;0.00056111
2;10;0.34;0.80;18.60;16.34;3.72;3.27;0.41;0.36;1.04;0.73;2.890672894;0.025209877;0.000205;0.000711342
2;10;0.36;0.80;20.45;18.32;4.09;3.66;0.45;0.41;1.04;0.74;3.189453435;0.030197531;0.000454067;0.000903239
2;10;0.38;0.95;20.55;20.41;4.11;4.08;0.46;0.45;1.03;0.79;3.493255498;0.026592593;0.000928594;0.001148947
2;10;0.40;1.00;21.30;22.62;4.26;4.52;0.47;0.50;1.14;0.79;3.800070474;0.025283951;0.001765286;0.001463845
2;10;0.42;0.95;23.55;24.94;4.71;4.99;0.52;0.55;1.12;0.77;4.10778118;0.030518519;0.003138032;0.001866977
2;10;0.44;1.00;24.30;27.37;4.86;5.47;0.54;0.61;1.10;0.82;4.414161862;0.028222222;0.005243556;0.002383894
2;10;0.46;1.00;24.40;29.91;4.88;5.98;0.54;0.66;1.08;0.81;4.716878191;0.026444444;0.008274843;0.003058987
2;10;0.48;1.00;24.75;32.57;4.95;6.51;0.55;0.72;1.06;0.82;5.013487263;0.02454321;0.012385561;0.003995746
2;10;0.50;0.95;27.80;35.34;5.56;7.07;0.62;0.79;1.10;0.84;5.301437603;0.03037037;0.017652632;0.005480258
2;20;0.02;0.00;5.05;0.24;0.51;0.02;0.03;0.00;0.03;0.07;0.023866554;0.001034626;0;0
2;20;0.04;0.00;10.00;0.96;1.00;0.10;0.05;0.01;0.07;0.15;0.09535161;0.002398892;0;0.000000013
2;20;0.06;0.05;16.45;2.15;1.65;0.21;0.09;0.01;0.13;0.37;0.214111352;0.00416205;0;0.000000224
2;20;0.08;0.05;20.05;3.82;2.01;0.38;0.11;0.02;0.19;0.50;0.379572754;0.004195291;0;0.000001342
2;20;0.10;0.30;26.95;5.97;2.70;0.60;0.14;0.03;0.35;0.54;0.590933578;0.006040166;0;0.00000426
2;20;0.12;0.30;29.60;8.60;2.96;0.86;0.16;0.05;0.35;0.66;0.847162378;0.005864266;0;0.000008974
2;20;0.14;0.50;36.75;11.70;3.68;1.17;0.19;0.06;0.50;0.68;1.146998494;0.008414127;0;0.000014603
2;20;0.16;0.60;40.10;15.28;4.01;1.53;0.21;0.08;0.66;0.71;1.488952058;0.008501385;0;0.000020719
2;20;0.18;0.85;44.40;19.34;4.44;1.93;0.23;0.10;1.02;0.74;1.87130399;0.007055402;0;0.000027921
2;20;0.20;0.85;51.20;23.88;5.12;2.39;0.27;0.13;1.21;0.76;2.292106;0.009534626;0;0.000037196
2;20;0.22;0.85;54.80;28.89;5.48;2.89;0.29;0.15;1.10;0.80;2.749180588;0.010645429;0;0.000049357
2;20;0.24;0.95;60.15;34.38;6.02;3.44;0.32;0.18;1.14;0.79;3.240121042;0.01184349;0;0.000065078
2;20;0.26;0.95;64.30;40.35;6.43;4.04;0.34;0.21;1.16;0.79;3.76229144;0.01099169;0.000000001;0.000085129
2;20;0.28;1.00;71.65;46.80;7.17;4.68;0.38;0.25;1.50;0.79;4.31282665;0.014743767;0.000000006;0.000110525
2;20;0.30;1.00;70.75;53.72;7.08;5.37;0.37;0.28;1.55;0.80;4.888632328;0.015602493;0.000000051;0.000142616
2;20;0.32;0.95;75.95;61.12;7.60;6.11;0.40;0.32;1.40;0.80;5.486384922;0.017134349;0.000000338;0.000183205
2;20;0.34;1.00;78.65;69.00;7.87;6.90;0.41;0.36;1.64;0.81;6.102531666;0.012882271;0.000001828;0.000234739
2;20;0.36;1.00;87.75;77.36;8.78;7.74;0.46;0.41;1.50;0.82;6.733290586;0.023469529;0.00000826;0.000300593
2;20;0.38;1.00;89.30;86.19;8.93;8.62;0.47;0.45;1.51;0.82;7.374650496;0.017562327;0.000031635;0.000385553
2;20;0.40;1.00;90.90;95.50;9.09;9.55;0.48;0.50;1.55;0.82;8.022371;0.018709141;0.000104127;0.000496553
